"job_application_id","has_embedding","km_cluster","hc_cluster","hdb_cluster"
"f1f3d8d5-c6a7-43be-bd1a-ea2ffbf14961",TRUE,3,1,2
"439d9fb3-59bd-4cdf-9ba6-3603867b0254",TRUE,4,7,2
"2a988a91-aba2-4043-8355-8eedd8a45494",TRUE,3,1,2
"a2f82314-29f9-4ae4-a68d-4619775b012a",TRUE,4,8,2
"c076e691-025e-49a5-bfb5-2496110c3357",TRUE,6,9,2
"dea63715-b525-4d61-82a4-50f0f71a1ac3",TRUE,4,7,2
"5832cbe3-ab7f-4e79-a717-92812df0cef6",TRUE,5,1,2
"5c4b9be3-4028-4864-937a-7b5ae8c6876e",TRUE,3,1,2
"cc69e86b-b4ab-4ba1-85a3-91387f7ea008",TRUE,6,9,2
"2d1d1e89-443a-4556-88e0-db81559cf824",TRUE,4,7,2
"1876723d-3e31-4db6-be10-2b2a691567f1",TRUE,8,8,2
"c2563e8c-35a5-4433-9053-f2ec1f95bd36",TRUE,8,6,2
"98d2d683-c98b-408e-ba14-40a4d6c459e0",TRUE,4,2,2
"71995f21-8fab-4215-a10c-131003986333",TRUE,5,3,2
"9616cfc5-d2d5-49f3-b979-ca4b8f40692b",TRUE,8,2,2
"dcb8952b-e11f-4d3f-951f-dbb5cdb45c2d",TRUE,7,6,2
"1a2d55e3-d131-4304-8ab3-fedad960ca26",TRUE,5,7,2
"8864fbc7-78e9-4a50-94f4-66a6b6efa7b7",TRUE,4,3,2
"1fe849e8-4747-4c93-b9ae-760d99bc968f",TRUE,5,3,2
"af940a2d-0738-4186-9010-56b2f42f63c7",TRUE,4,7,2
"357649b7-db62-44c2-a9b0-360edbcef856",TRUE,7,6,2
"a7c1e361-16b2-4b04-8de9-dd9b3ecca08a",TRUE,5,9,2
"bc42bd87-a95e-4413-a62e-1826f8f126e3",TRUE,5,9,2
"83492a19-909f-46eb-8050-cacb4099ef9d",TRUE,8,8,2
"df1e4428-57f4-4f7b-af50-a0fb59bc0ada",TRUE,3,1,2
"fb27b91f-4313-40f7-8962-25d1a9a87f7b",TRUE,1,2,2
"79535f30-2c9b-4944-824f-f3322c6ec972",TRUE,1,2,2
"0aa1dda6-7a20-4280-9fe8-8d170ba20e13",TRUE,1,8,2
"077bcc60-7193-49b6-ab05-807298206a30",TRUE,3,3,2
"71b1d859-cc15-490b-8be5-646d2a67aa8f",TRUE,5,9,2
"8002af19-9e34-43e0-a90c-cb09f4d115d0",TRUE,3,8,2
"258fbf4f-697a-46d4-9c04-c47267646b37",TRUE,8,8,2
"35fe613c-3182-4653-bcf6-fe4f67f0d7b5",TRUE,8,8,2
